,postal_code,school_name,url_address,address,telephone_no,telephone_no_2,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,sixth_vp_name,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code,results.SEARCHVAL,results.BLK_NO,results.ROAD_NAME,results.BUILDING,results.ADDRESS,results.X,results.Y,results.LATITUDE,results.LONGITUDE
11,129903,CLEMENTI PRIMARY SCHOOL,http://www.clementipri.moe.edu.sg,8    CLEMENTI AVE 3,67797449,na,67732898,na,admin_clementi_ps@moe.edu.sg,Clementi MRT Station,We are just beside Clementi Bus Interchange.,MR VIMALENTHIRAN S/O VIJAYASINGAM,MRS TAN SIEW HONG,NULL,NULL,NULL,NULL,NULL,CLEMENTI,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,CLEMENTI PRIMARY SCHOOL,8,CLEMENTI AVENUE 3,CLEMENTI PRIMARY SCHOOL,8 CLEMENTI AVENUE 3 CLEMENTI PRIMARY SCHOOL SINGAPORE 129903,20190.29834,33038.63649,1.315063218,103.7631445
12,129904,CLEMENTI TOWN SECONDARY SCHOOL,http://www.clementitownsec.moe.edu.sg,10   CLEMENTI AVE 3,67777362,na,67789543,na,ctss@moe.edu.sg,CLEMENTI MRT,"14, 105, 106, 147, 156, 165, 166, 173, 175, 184, 196, 282, 284, 285, 7, 96, 99",MDM LEE CHING GUAN HELEN,MISS LEONG KAI LING,MRS TAY CHEN LAI,NULL,NULL,NULL,NULL,CLEMENTI,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,CLEMENTI TOWN SECONDARY SCHOOL,10,CLEMENTI AVENUE 3,CLEMENTI TOWN SECONDARY SCHOOL,10 CLEMENTI AVENUE 3 CLEMENTI TOWN SECONDARY SCHOOL SINGAPORE 129904,20065.22104,33091.26389,1.315539129,103.7620206
13,129956,NAN HUA HIGH SCHOOL,http://www.nanhuahigh.moe.edu.sg,41   CLEMENTI AVENUE 1,67788303,na,67751956,na,nhhs@moe.edu.sg,CLEMENTI MRT,"14, 33, 52, 78, 96, 97, 105, 106, 147, 151, 154, 165, 166, 183, 185, 188, 189, 196, 197, 198, 282, 285, 963",MRS TAN JONG LEK,MDM TAN MOK JEE,MR KONG KOK HENG MELVIN,NULL,NULL,NULL,NULL,CLEMENTI,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,Yes,Yes,No,No,Chinese,na,na,NAN HUA HIGH SCHOOL,41,CLEMENTI AVENUE 1,NAN HUA HIGH SCHOOL,41 CLEMENTI AVENUE 1 NAN HUA HIGH SCHOOL SINGAPORE 129956,20793.13351,32268.1426,1.308095295,103.7685614
14,129957,NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,www.nushigh.edu.sg,20   Clementi Avenue 1,65161709,na,67756910,na,einstein@highsch.nus.edu.sg,Nearest MRT Stations - Clementi and Dover,"96, 97, 151, 183, 188, 189, 196, 197, 198",MDM SOH LAI LENG MAGDALEN,MR GOH HOCK LEONG,MR CLIFTON KOH SIEW BOON,NULL,NULL,NULL,NULL,CLEMENTI,WEST,SPECIALISED INDEPENDENT SCHOOL,CO-ED SCHOOL,FULL DAY,MIXED LEVELS,No,No,No,Yes,Chinese,Malay,Tamil,NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,20,CLEMENTI AVENUE 1,NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,20 CLEMENTI AVENUE 1 NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE SINGAPORE 129957,20882.57471,32098.87059,1.306564481,103.7693652
15,138572,"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",http://www.sst.edu.sg,1    Technology Drive,(65) 65717200,na,(65) 68720856,na,contactus@sst.edu.sg,Dover,"14, 74, 105, 106, 147, 166, 185",MRS LINDA CHAN,MRS CHEW EU JIN NEE LIM WAI LEE,NULL,NULL,NULL,NULL,NULL,CLEMENTI,WEST,SPECIALISED INDEPENDENT SCHOOL,CO-ED SCHOOL,FULL DAY,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",1,TECHNOLOGY DRIVE,"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE","1 TECHNOLOGY DRIVE SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE SINGAPORE 138572",21399.68989,32802.51526,1.312928106,103.7740115
16,139648,FAIRFIELD METHODIST SCHOOL (PRIMARY),http://www.fmsp.moe.edu.sg/,100  DOVER ROAD,67788431,na,67762948,na,fmsp@moe.edu.sg,"One-North MRT, Buona Vista MRT & Dover MRT","SBS Bus 14,33,74,166 & 196",MDM LAW LI MEI,MDM QUEK TSUI LAN PRISCA,NULL,NULL,NULL,NULL,NULL,QUEENSTOWN,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,COMMIT LEARNING SCHOOLHOUSE @ FAIRFIELD METHODIST SCHOOL (PRIMARY),100,DOVER ROAD,COMMIT LEARNING SCHOOLHOUSE @ FAIRFIELD METHODIST SCHOOL (PRIMARY),100 DOVER ROAD COMMIT LEARNING SCHOOLHOUSE @ FAIRFIELD METHODIST SCHOOL (PRIMARY) SINGAPORE 139648,22673.28199,31484.02757,1.301004419,103.7854556
17,139649,FAIRFIELD METHODIST SCHOOL (SECONDARY),http://www.fairfieldmethodistsec.moe.edu.sg,102  DOVER ROAD,67788702,na,67797482,na,FMSS@MOE.EDU.SG,"BUONA VISTA MRT, ONE-NORTH MRT","33, 74, 166, 196",MS CHEN LI YING AUDREY,MR LIM SIN HENG,MR LIM YONG CHAI ALAN,NULL,NULL,NULL,NULL,QUEENSTOWN,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Chinese,Malay,Tamil,HOLY COVENANT METHODIST CHURCH,102,DOVER ROAD,HOLY COVENANT METHODIST CHURCH,102 DOVER ROAD HOLY COVENANT METHODIST CHURCH SINGAPORE 139649,22549.18341,31576.1391,1.301837422,103.7843405
18,139650,ANGLO-CHINESE SCHOOL (INDEPENDENT),http://www.acsindep.moe.edu.sg,121  DOVER ROAD,67731633,na,67731433,na,ACIS@MOE.EDU.SG,"DOVER MRT, BUONA VISTA MRT, ONE-NORTH MRT","33, 74, 166, 196",MR KOH SUNG- YI ARENE,MRS TEO LAI CHENG JUDY-HO,MISS CHOCK SIEW HWA,MDM YONG LEE HAR,MR SOO MUN KEONG PATRICK,MR CHIEW TECK TZER TERENCE,DR YONG YUN LEONG ANDREW,QUEENSTOWN,SOUTH,INDEPENDENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,MIXED LEVELS,No,No,Yes,Yes,Chinese,Malay,Tamil,ANGLO-CHINESE SCHOOL (INDEPENDENT),121,DOVER ROAD,ANGLO-CHINESE SCHOOL (INDEPENDENT),121 DOVER ROAD ANGLO-CHINESE SCHOOL (INDEPENDENT) SINGAPORE 139650,22106.57329,31782.555,1.303704093,103.7803634
19,139657,NEW TOWN SECONDARY SCHOOL,http://www.newtownsec.moe.edu.sg,1020 DOVER ROAD,67754140,na,67752310,na,ntss@moe.edu.sg,"DOVER MRT, CLEMENTI MRT","33, 96, 96A, 151, 196, 183",MDM TAN SIEW HONG (MRS SNG),MR CHAN KOK TUNG TOM,MR LEONARD TAN SOON TECK,NULL,NULL,NULL,NULL,QUEENSTOWN,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,NEW TOWN SECONDARY SCHOOL,1020,DOVER ROAD,NEW TOWN SECONDARY SCHOOL,1020 DOVER ROAD NEW TOWN SECONDARY SCHOOL SINGAPORE 139657,21308.10109,32453.96253,1.3097759,103.7731886
20,139745,ANGLO-CHINESE JUNIOR COLLEGE,http://www.acjc.edu.sg,25   DOVER CLOSE EAST,67750511,na,67775479,na,acjc@acjc.edu.sg,Buona Vista,"74,95,100,105,106,111,145,147,191,196,198,602",DR CHEE YAN HOON SHIRLEEN,MDM SEOW HONG KIANG,"MISS LIM MEI LIN, AUDREY",NULL,NULL,NULL,NULL,QUEENSTOWN,WEST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,na,na,na,ANGLO-CHINESE JUNIOR COLLEGE,25,DOVER CLOSE EAST,ANGLO-CHINESE JUNIOR COLLEGE,25 DOVER CLOSE EAST ANGLO-CHINESE JUNIOR COLLEGE SINGAPORE 139745,22662.47208,31709.39408,1.303042552,103.7853584
21,148800,QUEENSTOWN SECONDARY SCHOOL,http://www.queenstownsec.moe.edu.sg,1    STRATHMORE ROAD,64741055,na,64741295,na,qtss@moe.edu.sg,"REDHILL MRT, QUEENSTOWN MRT","33, 51, 64, 111, 120, 139, 145, 186, 970",MDM RASIDAH BTE RAHIM,MR CHUA PUAY WEE ERIC,MRS YUE-CHANG TECK HUI,NULL,NULL,NULL,NULL,QUEENSTOWN,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,QUEENSTOWN SECONDARY SCHOOL,1,STRATHMORE ROAD,QUEENSTOWN SECONDARY SCHOOL,1 STRATHMORE ROAD QUEENSTOWN SECONDARY SCHOOL SINGAPORE 148800,25759.97301,30656.53761,1.293521268,103.813191
22,148812,NEW TOWN PRIMARY SCHOOL,http://www.newtownpri.moe.edu.sg/,300  Tanglin Halt Road,64748805,na,64741249,na,NTPS@MOE.EDU.SG,Commonwealth MRT Station,"SBS Numbers 32, 100, 105, 111, 145, 147, 195, 196, 198, 855",MRS TAN-NG WIE PIN,MR ONG SZE CHONG BRYAN,MRS CHAN-CHIN WEY LING LYNNE,NULL,NULL,NULL,NULL,QUEENSTOWN,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,NEW TOWN CAREHUT,300,TANGLIN HALT ROAD,NEW TOWN CAREHUT,300 TANGLIN HALT ROAD NEW TOWN CAREHUT SINGAPORE 148812,24288.02529,31352.0824,1.299811389,103.7999648
23,149295,QUEENSWAY SECONDARY SCHOOL,http://www.queenswaysec.moe.edu.sg,2A   MARGARET DRIVE,64741421,na,64741302,na,QSS@moe.edu.sg,"COMMONWEALTH MRT, QUEENSTOWN MRT","32, 51, 93, 100, 105, 111, 122, 123, 145, 147, 153, 186, 195, 196, 198, 855, 961, 970","MR TAN CHONG TZE, PETER",MR NG HOCK SOON,MR LOH KAR WAI JAY,NULL,NULL,NULL,NULL,QUEENSTOWN,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,QUEENSWAY SECONDARY SCHOOL,2A,MARGARET DRIVE,QUEENSWAY SECONDARY SCHOOL,2A MARGARET DRIVE QUEENSWAY SECONDARY SCHOOL SINGAPORE 149295,24537.59289,31397.56165,1.300222716,103.8022073
24,149303,QUEENSTOWN PRIMARY SCHOOL,http://www.queenstownpri.moe.edu.sg,310  MARGARET DR,64741044,na,64713640,na,qtps@moe.edu.sg,Queenstown MRT,"32, 111, 145, 195",MISS NG POR JOO PEARLY,MR ATRAJU S/O KANAN RAMDAS,NULL,NULL,NULL,NULL,NULL,QUEENSTOWN,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,QUEENSTOWN CAREHUT,310,MARGARET DRIVE,QUEENSTOWN CAREHUT,310 MARGARET DRIVE QUEENSTOWN CAREHUT SINGAPORE 149303,25143.14262,30878.55406,1.295529056,103.8076485
25,158901,GAN ENG SENG PRIMARY SCHOOL,http://www.ganengsengpri.moe.edu.sg,100  REDHILL CLOSE,64717451,na,64794152,na,gesps@moe.edu.sg,Redhill,"14, 63, 147, 196, 197, 855, 961","MR LEE WEI YAP, ROY",MDM RINA D/O BHASI,NULL,NULL,NULL,NULL,NULL,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,GAN ENG SENG PRIMARY SCHOOL,100,REDHILL CLOSE,GAN ENG SENG PRIMARY SCHOOL,100 REDHILL CLOSE GAN ENG SENG PRIMARY SCHOOL SINGAPORE 158901,26022.21709,29780.10807,1.285595165,103.8155474
26,159016,ALEXANDRA PRIMARY SCHOOL,http://alexandrapri.moe.edu.sg,2A   Prince Charles Crescent,62485400,na,62485409,na,alexandra_ps@moe.edu.sg,Redhill Station  Tiong Bahru Station,"51, 122, 139, 186, 970.",MDM TEO CHING LING,MDM NORAINI BTE MANSOOR,NULL,NULL,NULL,NULL,NULL,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,QSF - THE ENABLERS PTE LTD (STUDENT CARE @ ALEXANDRA PRI),2A,PRINCE CHARLES CRESCENT,QSF - THE ENABLERS PTE LTD (STUDENT CARE @ ALEXANDRA PRI),2A PRINCE CHARLES CRESCENT QSF - THE ENABLERS PTE LTD (STUDENT CARE @ ALEXANDRA PRI) SINGAPORE 159016,26956.33399,30410.80831,1.291299041,103.8239408
27,159050,BUKIT MERAH SECONDARY SCHOOL,http://www.bukitmerahsec.moe.edu.sg,10   LENGKOK BAHRU,64748934,na,64744122,na,bmss@moe.edu.sg,REDHILL MRT,"14, 32, 33, 63, 64, 120, 132, 139, 145, 147, 196, 197, 855, 961",MR CHENG GHEE HOCK TIMOTHY,MR KOH YONG HWEE DARYL,MDM YAP SHARON,NULL,NULL,NULL,NULL,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,BUKIT MERAH SECONDARY SCHOOL,10,LENGKOK BAHRU,BUKIT MERAH SECONDARY SCHOOL,10 LENGKOK BAHRU BUKIT MERAH SECONDARY SCHOOL SINGAPORE 159050,25787.56086,29790.90917,1.285692831,103.8134389
28,159561,GAN ENG SENG SCHOOL,http://www.ganengsengsch.moe.edu.sg,1    HENDERSON ROAD,64745594,na,64732479,na,GESS@MOE.EDU.SG,"REDHILL MRT, TIONG BAHRU MRT","14, 16, 32, 33, 51, 63, 64, 120, 122, 145, 139, 186, 851, 970",MISS TAN HWEE PIN,MR CHUNG KWOK LEONG DANIEL,MDM SARAWATHY D/O VARADARAJU,NULL,NULL,NULL,NULL,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,GAN ENG SENG SCHOOL,1,HENDERSON ROAD,GAN ENG SENG SCHOOL,1 HENDERSON ROAD GAN ENG SENG SCHOOL SINGAPORE 159561,26933.28135,30164.4591,1.289071145,103.8237337
29,168622,OUTRAM SECONDARY SCHOOL,http://www.outramsec.moe.edu.sg,3    YORK HILL,67334077,na,62352337,na,OSS@MOE.EDU.SG,"OUTRAM PARK MRT, CHINATOWN MRT","174 , 123, 16, 175, 195, 33, 5, 63, 75, 851, 970, 123, 186, 51, 64",MR BOO HIAN KOK,MR LIM PANG CHUANG,MDM GUINIEVE YEO LI-LYN,NULL,NULL,NULL,NULL,CENTRAL,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,OUTRAM SECONDARY SCHOOL,3,YORK HILL,OUTRAM SECONDARY SCHOOL,3 YORK HILL OUTRAM SECONDARY SCHOOL SINGAPORE 168622,28423.87473,29881.65449,1.286513575,103.8371273
30,169485,ZHANGDE PRIMARY SCHOOL,http://www.zhangdepri.moe.edu.sg/,51   Jalan Membina,62740357,na,62763042,na,ZHANGDE_PS@MOE.EDU.SG,Tiong Bahru MRT Station,"16,33,63,123,195,605,851,14,65,147,167,196,197,961",MDM RITA RAJLAL,MISS TAY HWEE LIN,MRS PEGGY KOH,NULL,NULL,NULL,NULL,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,YMCA STUDENT CARE CENTRE @ ZHANGDE,51,JALAN MEMBINA,YMCA STUDENT CARE CENTRE @ ZHANGDE,51 JALAN MEMBINA YMCA STUDENT CARE CENTRE @ ZHANGDE SINGAPORE 169485,27180.1479,29627.10811,1.284211539,103.8259519
31,198423,STAMFORD PRIMARY SCHOOL,http://www.stamfordpri.moe.edu.sg,1    VICTORIA LANE,62945074,na,62919262,na,STAMFORD_PS@MOE.EDU.SG,"Bugis MRT Station, Jalan Besar MRT Station","Along Victoria Street:2,7,12,32,33, 51, 61,63,80,130,133,145, 175, 197",MDM FAN YUEN FUN CASSIE,MDM RAHIMA BTE ABDUL RAHMAN,NULL,NULL,NULL,NULL,NULL,CENTRAL,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,STAMFORD CAREHUT,1,VICTORIA LANE,STAMFORD CAREHUT,1 VICTORIA LANE STAMFORD CAREHUT SINGAPORE 198423,30630.53251,31799.70039,1.303859599,103.8569551
32,217567,FARRER PARK PRIMARY SCHOOL,http://www.farrerparkpri.moe.edu.sg,2    FARRER PARK ROAD,62952272,na,62942272,na,fpps@moe.edu.sg,Farrer Park MRT Station,131,MISS CHEONG HWEE KHIM,MR RAMESH MUKUNDHAN,NULL,NULL,NULL,NULL,NULL,KALLANG,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,FARRER PARK PRIMARY SCHOOL,2,FARRER PARK ROAD,FARRER PARK PRIMARY SCHOOL,2 FARRER PARK ROAD FARRER PARK PRIMARY SCHOOL SINGAPORE 217567,29941.77682,32740.5849,1.312368677,103.8507664
33,227968,"SCHOOL OF THE ARTS, SINGAPORE",http://www.sota.edu.sg/,1    Zubir Said Drive,6338 9663,6342 5857,6338 9763,na,enquiries@sota.edu.sg,Dhoby Ghaut,"7, 14, 16, 36, 64, 65, 77, 106, 111, 124, 128, 131, 147, 162, 166, 167, 171, 174, 175, 190, 502, 518, 700, 857,",MDM WONG YEE MIN MARY,MR HO KOK SUN KEVIN,MS KHOO MEI LING AMY,MISS PAULINE ANN TAN POH LING,NULL,NULL,NULL,CENTRAL,SOUTH,SPECIALISED INDEPENDENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,MIXED LEVELS,No,No,No,No,Chinese,Malay,Tamil,SOTA THEATRE & HALL,1,ZUBIR SAID DRIVE,SOTA THEATRE & HALL,1 ZUBIR SAID DRIVE SOTA THEATRE & HALL SINGAPORE 227968,29708.97825,31301.19881,1.29935139,103.8486745
